from	to
Cxcl1	Cxcr2
Cxcl2	Cxcr2
Cxcl5	Cxcr2
Ppbp	Cxcr2
Cxcl9	Cxcr3
Cxcl10	Cxcr3
Cxcl11	Cxcr3
Cxcl12	Cxcr4
Cxcl13	Cxcr5
Cxcl16	Cxcr6
Xcl1	Xcr1
Cx3cl1	Cx3cr1
Ccl20	Ccr6
Ccl25	Ccr9
Ccl17	Ccr4
Ccl22	Ccr4
Ccl19	Ccr7
Ccl21a	Ccr7
Ccl12	Ccr2
Ccl2	Ccr2
Ccl2	Ccr3
Ccl7	Ccr2
Ccl7	Ccr1
Ccl5	Ccr5
Ccl5	Ccr1
Ccl5	Ccr3
Ccl8	Ccr3
Ccl11	Ccr3
Ccl24	Ccr3
Ccl26	Ccr3
Ccl28	Ccr3
Ccl28	Ccr10
Gm13306	Ccr10
Il6	Il6st
Il6	Il6ra
Il11	Il11ra1
Il11	Il6st
Osm	Lifr
Osm	Il6st
Osm	Osmr
Lif	Lifr
Lif	Il6st
Cntf	Cntfr
Cntf	Lifr
Cntf	Il6st
Clcf1	Cntfr
Clcf1	Lifr
Clcf1	Il6st
Ctf1	Lifr
Ctf1	Il6st
Csf3	Csf3r
Lep	Lepr
Il4	Il13ra1
Il4	Il4ra
Il13	Il13ra1
Il13	Il4ra
Il12a	Il12rb2
Il12a	Il12rb1
Il23a	Il12rb1
Il23a	Il23r
Csf2	Csf2rb
Csf2	Csf2ra
Il5	Il5ra
Il5	Csf2rb
Il2	Il2rg
Il2	Il2rb
Il2	Il2ra
Il4	Il2rg
Il7	Il7r
Il7	Il2rg
Il9	Il9r
Il9	Il2rg
Il15	Il2rg
Il15	Il15ra
Il15	Il2rb
Il21	Il2rg
Il21	Il21r
Tslp	Crlf2
Tslp	Il7r
Epo	Epor
Prl	Prlr
Thpo	Mpl
Pdgfc	Pdgfra
Pdgfa	Pdgfra
Pdgfa	Pdgfrb
Pdgfb	Pdgfra
Pdgfb	Pdgfrb
Plekho2	Pdgfrb
Vegfb	Flt1
Vegfa	Flt1
Vegfa	Kdr
Vegfd	Kdr
Vegfd	Flt4
Hgf	Met
Egf	Egfr
Csf1	Csf1r
Kitl	Kit
Flt3l	Flt3
Ifnb1	Ifnar2
Ifnb1	Ifnar1
Ifnk	Ifnar2
Ifnk	Ifnar1
Ifne	Ifnar2
Ifne	Ifnar1
Ifng	Ifngr2
Ifng	Ifngr1
Il10	Il10rb
Il10	Il10ra
Il19	Il20ra
Il20	Il20ra
Il20	Il22ra1
Il24	Il20ra
Il24	Il22ra1
Il22	Il10rb
Il22	Il22ra1
Il22	Il22ra2
Ifnl2	Il10rb
Ifnl2	Ifnlr1
Tnfsf10	Tnfrsf10b
Tnfsf10	Tnfrsf11b
Tnfsf11	Tnfrsf11b
Tnfsf11	Tnfrsf11a
Tnfsf12	Tnfrsf12a
Tnf	Tnfrsf1b
Tnf	Tnfrsf1a
Lta	Tnfrsf1b
Lta	Tnfrsf1a
Lta	Ltbr
Lta	Tnfrsf14
Ltb	Ltbr
Tnfsf14	Ltbr
Tnfsf14	Tnfrsf14
Fasl	Fas
Cd40lg	Cd40
Cd70	Cd27
Tnfsf8	Tnfrsf8
Tnfsf9	Tnfrsf9
Tnfsf4	Tnfrsf4
Tnfsf18	Tnfrsf18
Tnfsf13	Tnfrsf17
Tnfsf13	Tnfrsf13b
Tnfsf13b	Tnfrsf17
Tnfsf13b	Tnfrsf13b
Tnfsf13b	Tnfrsf13c
Eda	Edar
Eda	Eda2r
Tgfb1	Tgfbr1
Tgfb1	Tgfbr2
Tgfb2	Tgfbr1
Tgfb2	Tgfbr2
Tgfb3	Tgfbr1
Tgfb3	Tgfbr2
Inhba	Acvr1
Inhba	Acvr2a
Inhba	Acvr1b
Inhba	Acvr2b
Inhbb	Acvr1
Inhbb	Acvr2a
Inhbb	Acvr1b
Inhbb	Acvr2b
Inhbc	Acvr1
Inhbc	Acvr2a
Inhbc	Acvr1b
Inhbc	Acvr2b
Inhbe	Acvr1
Inhbe	Acvr2a
Inhbe	Acvr1b
Inhbe	Acvr2b
Amh	Acvr1
Amh	Amhr2
Bmp2	Acvr1
Bmp2	Bmpr2
Bmp2	Bmpr1b
Bmp2	Bmpr1a
Bmp7	Bmpr1b
Bmp7	Acvr2a
Gdf5	Bmpr1a
Gdf5	Acvr2a
Il1a	Il1rap
Il1a	Il1r1
Il1a	Il1r2
Il1b	Il1rap
Il1b	Il1r1
Il1b	Il1r2
Il18	Il18rap
Il18	Il18r1
Cxcl11	Ackr3
Cxcl12	Ackr3
Ccl1	Ccr8
Il25	Il17rb
Il25	Il17ra
Il17a	Il17ra
Il17a	Il17rc
Il17f	Il17ra
Il17f	Il17rc
Il17c	Il17ra
Il17c	Il17re
Il17b	Il17rb
Cd80	Cd28
Cd80	Ctla4
Cd86	Cd28
Cd86	Ctla4
H2-DMa	Cd4
H2-Bl	Cd8a
Cd274	Pdcd1
Pdcd1lg2	Pdcd1
Cd40lg	Cd40
Itgb2	Cd226
Itgal	Cd226
Itgb2	Icam1
Itgal	Icam1
Icam1	Itgb2
Icam1	Itgal
Cd28	Cd80
Itgam	Icam1
Itgb1	Vcam1
Itga4	Vcam1
Itga9	Vcam1
Selplg	Selp
Selplg	Sele
Pecam1	Pecam1
Pvr	Cd226
Nectin2	Cd226
Cdh2	Cdh2
Cntn1	Nrcam
Ncam1	Ncam1
L1cam	L1cam
Nectin1	Nectin1
Cdh1	Cdh1
